node_id,relationship,node_type,node_name,linked_subjects,relationship_to_center,public_evidence_source_ids,priority_tier,why_researchable,unknowns
MAP-029,beside,segment,Medicare and Medicaid payment programs,SEG-001,"Payment layer shaping provider requirements incentives and covered services",R6-SRC-004;R6-SRC-026,medium,"Explains why care-delivery buyers may need quality and cost-linked justification",Whether MindfulText can credibly map to any covered or quality measure
MAP-030,beside,organization,National Council for Mental Wellbeing,"SEG-002; ICP-020", "Membership association directly connecting behavioral-health provider organizations and workforce capacity",R6-SRC-012;R6-SRC-013,high,"Potential ecosystem route and category-language source; not itself a buyer assumption",Member access and willingness to sponsor or refer
MAP-031,beside,organization,National Association of Community Health Centers (NACHC),SEG-003,"National association connecting community health centers primary-care associations and health-center networks",R6-SRC-014,high,"Potential route into FQHC ecosystems and workforce language",Whether it is a channel partner or only an advocacy body
MAP-032,beside,organization,American Hospital Association (AHA),ICP-006,"National association representing hospitals health systems and related providers",R6-SRC-015;R6-SRC-028,medium,"Potential route into hospital and health-system workforce context",Access model and relevance to smaller care organizations
MAP-033,beside,organization,LeadingAge,SEG-001,"Association connecting nonprofit aging-services providers and mission-driven organizations",R6-SRC-016,medium,"Potential route into aging and post-acute care providers",Whether workforce support is a member priority and channel fit
MAP-034,beside,organization,American Health Care Association / National Center for Assisted Living,SEG-001,"Association representing long-term and post-acute care providers",R6-SRC-017,medium,"Potential route into skilled nursing assisted living and related providers",Member access and adoption context
MAP-035,beside,organization,American Nurses Association,ICP-006,"Professional organization representing nurses and advocating for safe work environments and nurse wellness",R6-SRC-018,medium,"Workforce channel and category-language source across care settings",Association role versus employer-buyer route
MAP-036,beside,organization,National Association of Social Workers,ICP-018;ICP-020,"Professional association supporting social-work growth standards policy and practice",R6-SRC-019,high,"Closest professional ecosystem to LCSW-centered MindfulText research",Member need channel access and nonclinical boundary
MAP-037,beside,organization,The Joint Commission,SEG-001,"Accreditation and quality body evaluating healthcare organization performance and safety",R6-SRC-020,low,"Quality and safety requirements may shape provider priorities and proof language",Whether workforce wellbeing is material to accreditation decisions
MAP-038,beside,organization,CARF International,SEG-002,"Independent accreditor of health and human services including behavioral health CCBHC and opioid treatment programs",R6-SRC-021,medium,"Directly touches behavioral-health standards and continuous improvement",Relevance of staff-support evidence to accreditation
MAP-039,beside,organization,National Committee for Quality Assurance (NCQA),SEG-001,"Quality measurement and accreditation organization working across health plans providers and practices",R6-SRC-022,low,"Potential source of quality and accountability language across delivery and payer layers",Any measure relevant to workforce wellbeing
MAP-040,beside,segment,EHR and clinical-workflow platforms,SEG-001,"Infrastructure layer used by care organizations and administrative personnel across the care continuum",R6-SRC-023,low,"Workflow integration and friction are important to any low-disruption delivery model",Integration need privacy burden and adoption path
MAP-041,beside,organization,Oracle Health,SEG-001,"Named example of an enterprise healthcare information system spanning care workflows",R6-SRC-023,low,"Concrete infrastructure comparator for workflow and distribution questions",Whether integration is needed or undesirable for MindfulText
MAP-042,beside,organization,National Health Service Corps,SEG-001,"Workforce pipeline and loan-repayment program supporting primary-care and behavioral-health providers",R6-SRC-024,medium,"Public workforce-pressure and provider-network context",Whether it is a route to organizations or only a workforce program
MAP-043,beside,segment,Integrated primary and behavioral-health improvement networks,"SEG-002; SEG-003", "Technical-assistance and learning layer connecting health systems providers and integrated-care programs",R6-SRC-025,high,"Directly adjacent to both current comparison branches and care-model change",Route to providers and relevance of workforce-support tools
MAP-044,beside,segment,State and local behavioral-health associations and regional boards,SEG-002,"Convening layer connecting behavioral-health providers with public systems and funding context",R6-SRC-013,medium,"Potential channel and category-language layer",Specific organization types and access model
MAP-045,above,organization,U.S. Department of Health and Human Services (HHS),SEG-001,"Parent federal department containing health coverage public health research and care-support divisions",R6-SRC-027,medium,"Top-level system context for programs and policy affecting care delivery",Which division or program could matter to MindfulText
MAP-046,above,organization,Substance Abuse and Mental Health Services Administration (SAMHSA),SEG-002,"Federal behavioral-health policy grant and program layer connected to CCBHCs and workforce capacity",R6-SRC-001;R6-SRC-002;R6-SRC-029,high,"Direct system-level influence on the strongest current segment",Program eligibility and relevance to provider-level adoption
MAP-047,above,organization,Centers for Medicare & Medicaid Services (CMS),SEG-001,"Federal payer regulator and program administrator shaping provider participation payment and quality",R6-SRC-004;R6-SRC-005;R6-SRC-026,medium,"System-level source of provider categories payment and quality constraints",No assumption that CMS is a customer or channel
MAP-048,above,organization,Health Resources and Services Administration / Bureau of Primary Health Care,SEG-003,"Federal funder and administrator for community health-center and workforce programs",R6-SRC-003;R6-SRC-024,medium,"Directly shapes FQHC scale workforce and underserved-care context",Program-level relevance to a nonclinical staff-support product
MAP-049,above,segment,Public-health infrastructure and workforce system,SEG-001,"System layer of health departments workforce capacity community partnerships and access",R6-SRC-009;R6-SRC-010,medium,"Broadens the map beyond clinical providers without losing direct public-care connection",Whether it is a buyer channel funder or contextual layer
MAP-050,above,segment,Healthcare workforce and care-delivery operating environment,SEG-001,"Cross-cutting system context of staffing shortages care coordination regulation reimbursement and workflow pressure",R6-SRC-015;R6-SRC-028;R6-SRC-012,high,"Most direct bridge from care-delivery organizations to the MindfulText workforce-stress hypothesis",Which specific workforce problem is actionable and owned
