source_id,infl_id,source_url,source_kind,verification,observed_public_fact,accessed_date
SRC-007-029,INFL-029,https://podcasts.apple.com/us/podcast/disrupt/id1001289179,public show page,page-opened,Disrupt is described as Home Health Care News's podcast about individuals making a difference in home health,2026-07-15
SRC-007-030,INFL-030,https://hospicenews.com/about/,official about page,page-opened,Hospice News describes independent coverage of hospice and palliative care for large national and independent care companies,2026-07-15
SRC-007-031,INFL-031,https://hospicenews.com/category/editorial-commentary/,official editorial page,page-opened,Hospice News identifies Jim Parker as senior editor and Inside Hospice creator covering industry trends and thought leadership,2026-07-15
SRC-007-032,INFL-032,https://skillednursingnews.com/category/featured/,official publication page,page-opened,Skilled Nursing News features skilled-nursing operators clinical leaders post-acute partnerships and care-delivery issues,2026-07-15
SRC-007-033,INFL-033,https://www.mcknights.com/partnercontent/,official publication page,page-opened,McKnight's content addresses long-term-care facility leaders staffing shortages operations and care models,2026-07-15
SRC-007-034,INFL-034,https://www.hospicepalliativecaretoday.com/about-us,official about page,page-opened,Hospice and Palliative Care Today describes a newsletter lineage serving hospice and palliative-care leaders and advocates,2026-07-15
SRC-007-035,INFL-035,https://ashhrapodcast.buzzsprout.com/,official podcast page,page-opened,ASHHRA podcast covers healthcare workforce talent shortages leadership burnout HR strategy labor relations and policy,2026-07-15
SRC-007-036,INFL-036,https://www.aacn.org/education/podcast-series/voices-in-nursing,official podcast page,search-snippet-only,AACN Voices in Nursing is an association podcast with a nurse content strategist and nursing audience,2026-07-15
SRC-007-037,INFL-037,https://nursing.jnj.com/see-you-now-podcast,official podcast page,page-opened,SEE YOU NOW is made with the ANA and covers nurses in labor and delivery infectious disease hospice politics business and technology,2026-07-15
SRC-007-038,INFL-038,https://thenocturnists.org/about,official about page,page-opened,The Nocturnists describes an independent medical storytelling program founded by physician Emily Silverman to amplify healthcare-worker voices,2026-07-15
SRC-007-039,INFL-039,https://www.nursinguncensored.com/,official about page,page-opened,Nursing Uncensored describes a nurse-created podcast and blog designed to empower educate and validate nurses' frontline experiences,2026-07-15
SRC-007-040,INFL-040,https://www.donteatyouryoung.com/,official show page,page-opened,Don't Eat Your Young describes a podcast for nurses and the healthcare community offering support around burnout,2026-07-15
SRC-007-041,INFL-041,https://www.shiftnursing.com/about/,official about page,page-opened,SHIFT lists burnout mental health health equity nurse life and PTSD among its nursing content themes,2026-07-15
SRC-007-042,INFL-042,https://www.nurseblake.com/pages/about,official creator about page,page-opened,Nurse Blake describes a former surgical ICU nurse creator with more than four million followers and more than 300 million views,2026-07-15
SRC-007-043,INFL-043,https://katimorton.com/about,official creator about page,page-opened,Kati Morton describes a licensed therapist and YouTube channel with more than 1.5 million subscribers and 170 million views,2026-07-15
SRC-007-044,INFL-044,https://markspsychiatry.com/about-dr-marks/,official creator about page,search-snippet-only,Official search result identifies Dr Tracey Marks as a psychiatrist with an official mental-health education YouTube channel,2026-07-15
SRC-007-045,INFL-045,https://www.whatsanyamind.com/,official creator about page,page-opened,Steph Anya describes a licensed marriage and family therapist and content creator with a public YouTube audience,2026-07-15
SRC-007-046,INFL-046,https://www.manickathomas.com/aboutme,official creator about page,page-opened,Manicka Thomas describes a social-work content creator using YouTube to help social workers build competence and confidence,2026-07-15
SRC-007-047,INFL-047,https://www.whowhatwear.com/living/career/second-life-podcast-jen-hamilton,third-party profile,search-snippet-only,Profile describes Jen Hamilton as a frontline nurse and creator with a reported audience of more than six million across social platforms,2026-07-15
SRC-007-048,INFL-048,https://podcasts.apple.com/us/podcast/nurses-its-not-burnout-its-trauma/id1882466789,public show page,page-opened,Lorre Laws describes a nurse neuroscientist podcast focused on nurse trauma burnout and healthcare-worker wellbeing,2026-07-15
SRC-007-049,INFL-049,https://noviceisthenewnurse.com/,official creator/blog page,page-opened,Novice Is the New Nurse describes a registered nurse author content creator blogger and nursing influencer focused on wellness and self-care,2026-07-15
SRC-007-050,INFL-050,https://www.healthworkersblog.com/about/,official about page,page-opened,HealthWorkersBlog describes practical policy clinical career and frontline content for an informed connected healthcare workforce,2026-07-15
