infl_id,name,source_type,primary_context,geography,audience,reach_signal,care_delivery_relevance,audience_fit,evidence_quality,distribution_signal,next_step_value,total_score,priority,source_id,why_it_matters,unknown_or_caution
INFL-017,Psychiatric News,professional publication and podcast,psychiatry clinical practice policy workforce and mental health care,US,psychiatrists physicians health professionals and public readers,niche-high,2,2,2,1,1,8,B,SRC-007-017,APA media platform covers clinical care professional practice policy programs and workforce topics,Primary audience is psychiatrists rather than broad care-delivery executives
INFL-018,Psychiatric Services From Pages to Practice,journal podcast,community-based mental-health service delivery,US,mental-health-services researchers and interdisciplinary practitioners,niche,2,2,2,1,2,9,A,SRC-007-018,Directly addresses community-based treatment programs collaborative care and service delivery evidence,Academic format is an evidence channel rather than a broad creator/distribution channel
INFL-019,National Council State of Mental Wellbeing,podcast and association content,community mental health and CCBHC systems,US,behavioral-health leaders practitioners and advocates,niche-high,2,2,2,1,2,9,A,SRC-007-019,Strong match for CCBHC and community mental-health leadership conversations and field language,Association perspective may be policy/member oriented and not independent journalism
INFL-020,Behavioral Health Today,podcast and professional media,behavioral and mental-health practice workforce and professional development,US,behavioral and mental-health professionals,niche-high,2,2,2,2,2,10,A,SRC-007-020,Publicly reports a large professional community and weekly cadence with a clinical perspective,Reported reach is publisher-provided and should be independently validated before ranking by size
INFL-021,TURN Behavioral Health Brief,provider-produced podcast,behavioral-health systems and community investment,US,behavioral-health professionals community leaders philanthropists and advocates,emerging-niche,2,2,2,1,2,9,A,SRC-007-021,Newer show explicitly targets behavioral-health professionals and real-world system challenges,Early cadence and audience size are not yet established
INFL-022,The Horizon Line,podcast,mental health substance use recovery crisis services and community care,US,professionals community leaders and people with lived experience,niche,2,2,2,1,2,9,A,SRC-007-022,Directly covers community mental-health resources crisis services recovery and trauma-informed care,Audience is mixed professional and lived-experience rather than buyer-only
INFL-023,NACHC Newsroom and Blog,association newsroom,community health centers FQHCs access and workforce,US,health-center professionals journalists policymakers and supporters,high,2,2,2,1,2,9,A,SRC-007-023,Most direct national association channel for FQHC and community-health-center narratives,Member and advocacy framing may limit independent editorial treatment
INFL-024,FQHC Associates FQHC.org Blog and Podcast,operator blog and podcast,FQHC leadership operations finance and workforce strategy,US,FQHC CEOs operators and professionals,niche-high,2,2,2,2,2,10,A,SRC-007-024,Directly speaks to FQHC leadership challenges sustainability and workforce strategy,Content is consultancy-led and may be commercially motivated
INFL-025,The Community Health Center Podcast,podcast,FQHC leadership growth financial sustainability and workforce development,US,community-health-center leaders and operators,niche,2,2,2,1,2,9,A,SRC-007-025,Focused channel for community-health-center leadership and operational language,Small or unknown audience size and current editorial independence
INFL-026,National Rural Health Association Newsletters,association newsletters,rural hospitals clinics workforce and policy,US,rural-health stakeholders professionals and advocates,niche-high,2,2,2,1,2,9,A,SRC-007-026,Reaches rural care-delivery stakeholders through recurring Rural Roundup and NRHA Today newsletters,Membership and advocacy orientation may limit broad distribution
INFL-027,RWHC Eye on Health Newsletter,association newsletter,rural health systems and community care,US,rural-health leaders and stakeholders,niche,2,2,2,1,1,8,B,SRC-007-027,Smaller regional channel that may surface local care-delivery language and stories missed by national outlets,Primarily Wisconsin-focused and not a verified national distribution route
INFL-028,Home Health Care News,trade publication,home health home care and at-home care operations,US,home-based-care operators and industry professionals,high-niche,2,2,2,2,2,10,A,SRC-007-028,Directly covers at-home-care labor operations retention and provider strategy,May be more commercially oriented and senior-care focused than behavioral health
INFL-029,Disrupt by Home Health Care News,podcast,home health workforce operations policy and technology,US,home-health and at-home-care leaders,niche-high,2,2,2,2,2,10,A,SRC-007-029,Podcast format reaches provider CEOs and workforce/operations conversations in home-based care,Audience size and sponsorship effects need validation
INFL-030,Hospice News,trade publication,hospice and palliative care operations workforce and policy,US,hospice and palliative-care professionals,niche-high,2,2,2,2,2,10,A,SRC-007-030,Independent trade coverage spans national providers and independent care companies and names an editorial team,Publisher rebranded in 2026 and current commercial/editorial structure should be tracked
INFL-031,Jim Parker / Inside Hospice,editor journalist and Substack,hospice operations leadership thought leadership and clinician engagement,US,hospice leaders clinicians referral partners and policy stakeholders,niche,2,2,2,1,2,9,A,SRC-007-031,Named senior editor launched a deeper analysis/community channel that explicitly covers hospice thought leadership,New Substack audience and cadence are not established
INFL-032,Skilled Nursing News,trade publication,skilled nursing post-acute care operators and workforce,US,SNF operators and post-acute leaders,niche-high,2,2,2,1,2,9,A,SRC-007-032,Direct niche source for nursing-home operators; staffing; care transitions and partnerships,Editorial fit for staff wellbeing versus regulation/finance is unknown
INFL-033,McKnight's Long-Term Care News,trade publication,long-term care nursing homes and facility operations,US,long-term-care professionals and facility leaders,niche-high,2,2,2,1,2,9,A,SRC-007-033,Established long-term-care source with news; commentary and market-leader podcast content,Current audience scale and editorial access need verification
INFL-034,Hospice and Palliative Care Today,newsletter and publication,hospice palliative care and mission-driven community providers,US,hospice leaders advocates and professionals,niche,2,2,2,1,1,8,B,SRC-007-034,Smaller source with a community-hospice and mission-driven perspective useful for long-tail discovery,Current publishing cadence and audience size are unclear
INFL-035,ASHHRA Podcast,association podcast,healthcare HR workforce leadership burnout labor relations and policy,US,healthcare HR and people leaders,niche-high,2,2,2,2,2,10,A,SRC-007-035,Directly addresses the people function that may own workforce-support programs and care-delivery staffing,HR audience is not equivalent to a buyer and may favor enterprise issues
INFL-036,AACN Voices in Nursing Podcast,association podcast,critical-care nursing and nurse leadership,US,critical-care nurses and nurse leaders,niche,2,2,2,1,2,9,A,SRC-007-036,Professional nursing channel with direct access to frontline and leadership perspectives,Specialty focus is narrower than SEG-001
INFL-037,SEE YOU NOW Podcast,association-backed podcast,nursing workforce and frontline care stories,US,nurses healthcare workers and allies,broad-high,2,2,2,2,2,10,A,SRC-007-037,Explicitly connects nurses; hospice; health-system change and the largest segment of the healthcare workforce,Association/brand partnership may constrain independent editorial framing
INFL-038,The Nocturnists,independent podcast and storytelling program,frontline clinicians moral injury mental health and healthcare culture,US,healthcare workers and medical storytellers,niche-high,2,2,2,2,2,10,A,SRC-007-038,Independent storytelling community amplifies healthcare-worker humanity and mental-health themes with strong narrative fit,Audience may be clinician-centered rather than organizational decision-maker centered
INFL-039,Nursing Uncensored,independent podcast and blog,nurse frontline experiences career support and advocacy,US,nurses and nursing students,niche,2,2,2,2,2,10,A,SRC-007-039,Grassroots channel explicitly aims to empower and validate nurses through candid frontline stories,Audience reach and editorial standards are less independently documented
INFL-040,Don't Eat Your Young,podcast,nursing burnout wellness and healthcare community,US,nurses and healthcare workers,small-niche,2,2,2,1,2,9,A,SRC-007-040,Small channel with direct burnout/support language and a nurse audience,Publishing cadence and audience size need verification
INFL-041,SHIFT Nursing,podcast and blog,nursing burnout mental health health equity and nurse relationships,US,nurses and healthcare workers,small-niche,2,2,2,1,2,9,A,SRC-007-041,Direct topical fit for frontline experience and workforce stress with a nurse-led voice,Current activity and audience scale are unclear
INFL-042,Nurse Blake,creator and video/social channel,nursing workforce humor stress and healthcare-worker wellbeing,US,global nurses nursing students and healthcare workers,very-high,2,2,2,2,2,10,A,SRC-007-042,Public creator page reports millions of followers and views and a direct connection to nurse stress and wellbeing,Large audience is mostly workforce/community rather than organizational buyers
INFL-043,Kati Morton LMFT,YouTube creator and therapist,mental-health education stress coping and therapy,US and global,consumer mental-health audience,very-high,1,1,2,2,1,7,B,SRC-007-043,Large public mental-health education channel could amplify workforce-wellbeing themes but is not care-delivery-operator focused,Audience is primarily consumers and broad mental-health learners
INFL-044,Dr Tracey Marks,YouTube creator and psychiatrist,psychiatry and mental-health education,US and global,consumer and learner mental-health audience,high,1,1,1,2,1,6,C,SRC-007-044,Clinician-led mental-health education is relevant to category language and public education,Audience size and current metrics require first-party verification and organization relevance is indirect
INFL-045,Steph Anya LMFT,YouTube creator and therapist,mental health relationships and therapy education,US and global,consumer mental-health audience,medium,1,1,2,2,1,7,B,SRC-007-045,Credible therapist creator with a public video audience and accessible language,Not a care-delivery organization channel and audience composition is unclear
INFL-046,Manicka Thomas,social-work creator and YouTube channel,social-work profession career confidence and competence,US and global,social workers and social-work learners,small-niche,2,2,2,1,2,9,A,SRC-007-046,Direct professional fit for social-work-heavy behavioral-health teams and grassroots creator discovery,Audience size and current posting consistency are unclear
INFL-047,Jen Hamilton,nurse creator author and podcast guest,nursing frontline experience maternal care and workforce storytelling,US and global,nurses patients and general audiences,very-high,2,1,2,2,1,8,B,SRC-007-047,Public reporting describes a large cross-platform audience and frontline nursing storytelling,Audience is broad and not specifically care-delivery leadership focused
INFL-048,Lorre Laws,nurse neuroscientist and podcast/video creator,nurse trauma burnout and workforce wellbeing,US and global,nurses and healthcare workers,emerging-niche,2,2,1,2,2,9,A,SRC-007-048,Direct topical fit for distinguishing nurse trauma from generic wellness language,Claims and audience metrics are creator-provided and require careful evidence review
INFL-049,Novice Is the New Nurse,creator blogger and influencer,new-nurse experience nursing wellness and self-care,US,nurses and new nurses,niche,2,2,2,1,2,9,A,SRC-007-049,Long-tail nursing creator whose public positioning explicitly combines nursing; wellness; self-care and purpose,Reach and current activity are not established
INFL-050,HealthWorkersBlog,professional workforce blog,healthcare workforce policy clinical trends and professional growth,US,health workers across disciplines,small-niche,2,2,1,1,2,8,B,SRC-007-050,Small professional publication aimed at an informed connected healthcare workforce and useful for long-tail language discovery,Peer-review and audience scale claims need verification
