source_id,source_name,source_type,primary_context,coverage_status,recent_window_signal,historical_window_signal,dominant_narratives,pain_points,terms,evidence_quality,notes
SRC-007-001,Becker's Hospital Review,trade publication,hospitals and health systems,item-sampled,capacity workforce finance AI administration,retention burnout staffing access,workforce capacity and operating pressure,staffing turnover care coordination capacity,workforce capacity retention burnout care coordination,high,Operator-facing channel; item-level sample used for current beat coding.
SRC-007-015,Behavioral Health Business,trade publication and podcast,mental health substance use autism IDD,item-sampled,workforce retention safety access innovation,behavioral health operators scaling under demand,staffing crisis and fragmented care,behavioral health workforce retention safety CCBHC access,high,Strong SEG-002 operator fit.
SRC-007-016,Laura Lovett / BHB Perspectives,editor journalist and podcast host,behavioral-health providers and business leaders,item-sampled,operator leadership staffing and safety,behavioral-health leadership under pressure,retention and operational sustainability,behavioral health leadership retention safety operations,medium,Individual route coded through BHB; availability unknown.
SRC-007-017,Psychiatric News,professional publication and podcast,psychiatry clinical practice policy workforce,item-sampled,psychiatry workforce access policy and AI,professional strain and behavioral-health demand,provider shortage and practice burden,psychiatry workforce burnout access AI policy,high,Clinician/professional audience; broader operator relevance is indirect.
SRC-007-018,Psychiatric Services From Pages to Practice,journal podcast,community mental-health service delivery,item-sampled,community care coordination integration crisis,community-based models replacing crisis-only care,coordination and implementation burden,community mental health care coordination integrated care crisis,high,Research/service-delivery channel.
SRC-007-019,National Council State of Mental Wellbeing,podcast and association content,community mental health and CCBHC,item-sampled,CCBHC expansion crisis access workforce,community behavioral system transformation,coordination funding workforce and crisis capacity,CCBHC crisis care coordination workforce access,high,Association perspective; direct SEG-002 language.
SRC-007-020,Behavioral Health Today,podcast and professional media,behavioral and mental-health practice,item-sampled,clinical workforce development access and practice,professionalization and resilience in behavioral health,workload and retention,behavioral health workforce clinical practice burnout access,medium,Publisher-reported community size not independently validated.
SRC-007-021,TURN Behavioral Health Brief,provider-produced podcast,behavioral-health systems and community investment,channel-only,system investment workforce and community response,community behavioral health advocacy and development,resource and capacity gaps,behavioral health investment workforce community care,medium,Provider-produced; treat as field perspective.
SRC-007-022,The Horizon Line,podcast,mental health substance use recovery crisis services,lead-only,crisis recovery trauma-informed community care,post-pandemic mental-health access and prevention,crisis navigation and service availability,crisis recovery trauma-informed care community resources,low,Search-snippet-only lead; no count in strongest-source totals.
SRC-007-023,NACHC Newsroom and Blog,association newsroom,community health centers FQHCs access workforce,item-sampled,funding workforce integration AI rural access,health centers as access infrastructure,thin margins unstable funding recruitment gaps,FQHC CHC workforce funding integrated behavioral health rural health,high,Direct current and historical NACHC policy sample.
SRC-007-024,FQHC Associates FQHC.org Blog and Podcast,operator blog and podcast,FQHC leadership operations finance workforce,item-sampled,financial sustainability workforce strategy compliance,operator adaptation to thin-margin care,workforce and funding constraints,FQHC operations finance workforce sustainability compliance,medium,Consultancy-led; may be commercially motivated.
SRC-007-025,The Community Health Center Podcast,podcast,FQHC leadership growth finance workforce,item-sampled,workforce development growth and operational sustainability,community-health-center expansion and access,limited staff and operating resources,community health center workforce growth sustainability access,medium,Small specialist channel; current cadence bounded.
SRC-007-026,National Rural Health Association Newsletters,association newsletters,rural hospitals clinics workforce policy,item-sampled,rural workforce funding telehealth access,geographic inequity and rural survival,closures pipeline infrastructure and transport,rural health workforce access telehealth infrastructure funding,high,National rural-health association perspective.
SRC-007-027,RWHC Eye on Health Newsletter,association newsletter,rural health systems and community care,channel-only,rural service access workforce and local policy,local hospital and community-care preservation,small-system capacity and geography,rural hospital community care workforce access,medium,Regional signal; not treated as national reach.
SRC-007-028,Home Health Care News,trade publication,home health home care at-home operations,item-sampled,home-care labor complexity technology and margins,care moving into home with workforce strain,retention coordination reimbursement,home health workforce retention home-based care coordination margins,high,Direct specialist trade source.
SRC-007-029,Disrupt by Home Health Care News,podcast,home-health workforce operations policy,item-sampled,operator strategy labor policy technology,home-based care business-model adaptation,workforce recruitment and delivery coordination,home health labor operations technology policy,medium,Podcast source; audience scale unknown.
SRC-007-030,Hospice News,trade publication,hospice and palliative-care operations,item-sampled,demand complexity staffing costs compliance,mission and margin tension in hospice,retention cost and regulatory oversight,hospice staffing palliative care costs compliance complexity,high,Direct recent Hospice News sample.
SRC-007-031,Jim Parker / Inside Hospice,editor journalist and Substack,hospice operations leadership,item-sampled,leadership clinician engagement and sustainability,hospice thought leadership after pandemic disruption,workforce engagement and operating pressure,hospice leadership clinician engagement sustainability,medium,Individual/editorial route; new audience remains unverified.
SRC-007-032,Skilled Nursing News,trade publication,skilled nursing post-acute operators,item-sampled,staffing standards access discharge partnerships,quality and staffing accountability in post-acute care,admissions and discharge bottlenecks,skilled nursing staffing quality access care transitions,high,Direct post-acute operator signal.
SRC-007-033,McKnight's Long-Term Care News,trade publication,long-term care nursing homes facility operations,item-sampled,staffing regulation finance operations,minimum staffing and quality debate,compliance versus recruitability,minimum staffing long-term care quality regulation workforce,high,Direct long-term-care source.
SRC-007-034,Hospice and Palliative Care Today,newsletter and publication,hospice palliative care mission providers,item-sampled,mission care workforce and community support,community hospice sustainability and professional identity,small-provider resource constraints,hospice palliative care mission workforce sustainability,medium,Smaller mission-oriented channel.
SRC-007-035,ASHHRA Podcast,association podcast,healthcare HR workforce leadership,item-sampled,retention burnout labor relations talent strategy,people operations as care-capacity infrastructure,turnover and work-design burden,healthcare HR retention burnout labor relations workforce strategy,high,Direct owner-adjacent workforce lens.
SRC-007-036,AACN Voices in Nursing Podcast,association podcast,critical-care nursing and nurse leadership,channel-only,nursing leadership retention safety and practice,frontline nursing strain and professional identity,stress workload and retention,nursing leadership burnout safety retention critical care,medium,Search-snippet-only source page in parent run.
SRC-007-037,SEE YOU NOW Podcast,association-backed podcast,nursing workforce and frontline care,item-sampled,nurse innovation workforce and care settings,frontline nurses as care redesign agents,voice, safety, and workload,nursing innovation workforce frontline care hospice,high,Strong narrative channel; not organizational buyer evidence.
SRC-007-038,The Nocturnists,independent podcast and storytelling,frontline clinicians moral injury mental health,item-sampled,clinician stories trauma identity and system culture,care-worker humanity and moral injury,emotional burden and psychological safety,moral injury trauma clinician wellbeing healthcare culture,high,Independent storytelling source; worker audience.
SRC-007-039,Nursing Uncensored,independent podcast and blog,nurse frontline experiences,item-sampled,nurse validation career and workplace reality,grassroots critique of nurse work,voice and retention,nursing burnout workplace culture advocacy frontline,medium,Grassroots channel; reach not independently documented.
SRC-007-040,Don't Eat Your Young,podcast,nursing burnout wellness,item-sampled,burnout support and healthcare community,wellness and survival language for nurses,emotional exhaustion and support gaps,nursing burnout wellness support healthcare community,medium,Small channel; no buyer inference.
SRC-007-041,SHIFT Nursing,podcast and blog,nursing burnout mental health health equity,item-sampled,mental health equity PTSD nurse life,worker wellbeing as a professional and equity issue,trauma and mental-health burden,nursing burnout PTSD mental health equity,medium,Small channel; useful language discovery.
SRC-007-042,Nurse Blake,creator and video/social channel,nursing workforce humor and wellbeing,item-sampled,workforce culture stress humor and identity,public normalization of nurse strain,stress and recognition rather than operating fixes,nurse workforce stress humor wellbeing nursing culture,medium,Large workforce audience; not operator distribution.
SRC-007-043,Kati Morton LMFT,YouTube creator and therapist,consumer mental-health education,channel-only,stress coping therapy and mental-health literacy,consumer mental-health education and help-seeking,access and stigma,mental health education stress coping therapy,medium,Adjacent consumer language channel.
SRC-007-044,Dr Tracey Marks,YouTube creator and psychiatrist,consumer and learner mental-health education,lead-only,psychiatry education symptoms and treatment,public mental-health literacy,help-seeking and stigma,psychiatry mental health education symptoms treatment,low,Search-snippet-only lead; indirect SEG-001 relevance.
SRC-007-045,Steph Anya LMFT,YouTube creator and therapist,consumer mental-health education,channel-only,relationships therapy and emotional literacy,consumer framing of mental-health support,stigma and help-seeking,therapy mental health relationships emotional literacy,medium,Consumer audience; not care-delivery operator evidence.
SRC-007-046,Manicka Thomas,social-work creator and YouTube channel,social-work profession and career,channel-only,competence confidence supervision and professional identity,social-work workforce formation and support,training and confidence gaps,social work competence workforce supervision behavioral health,medium,Professional creator; organizational relevance is role-specific.
SRC-007-047,Jen Hamilton,nurse creator author and podcast guest,nursing frontline experience and storytelling,lead-only,frontline nursing identity and public storytelling,worker voice and public trust,recognition and emotional load,nursing frontline identity patient care workforce,low,Third-party profile lead; do not use reported reach as verified fact.
SRC-007-048,Lorre Laws,nurse neuroscientist and podcast/video creator,nurse trauma burnout and wellbeing,channel-only,nurse trauma versus burnout and nervous-system framing,post-pandemic trauma and recovery language,trauma load and support mismatch,nurse trauma burnout neuroscience wellbeing,medium,Public show page reviewed; audience scale unknown.
SRC-007-049,Novice Is the New Nurse,creator blogger and influencer,new-nurse experience and wellness,channel-only,new-nurse wellness self-care and purpose,transition-to-practice and early-career strain,support and belonging,new nurse wellness self-care purpose transition,medium,Long-tail creator; current activity bounded.
SRC-007-050,HealthWorkersBlog,professional workforce blog,healthcare workforce policy and professional growth,channel-only,workforce policy clinical trends and career growth,professional workforce adaptation and learning,information and development gaps,healthcare workforce policy clinical trends professional growth,medium,Small professional publication; no reach claim.
