account_id,organization_name,state,segment_id,subsegment,care_delivery_model,directory_status,source_ids,buyer_profile_id,priority_tier,evidence_confidence,last_verified,workforce_or_operating_context,known_unknowns,relationship_note
ACC-016,McLean County Center for Human Services,IL,SEG-002,Community behavioral-health providers,county/community behavioral-health provider,"CCBHC grant recipient listed in January 2024 directory; current status needs recheck",SRC-002,BGP-CCBHC-001,directory-lead,low,2026-07-15,"Directory-listed organization in Illinois CCBHC grant cohort",Governance; current designation; workforce context; buyer group; procurement route,"New RUN-005 registry record"
ACC-017,North Central Behavioral Health Systems,IL,SEG-002,Community behavioral-health providers,community behavioral-health provider,"CCBHC grant recipient listed in January 2024 directory; current status needs recheck",SRC-002,BGP-CCBHC-001,directory-lead,low,2026-07-15,"Directory-listed organization in Illinois CCBHC grant cohort",Current designation; service footprint; workforce context; buyer group; official site,"New RUN-005 registry record"
ACC-018,Pillars Community Health,IL,SEG-002,Community behavioral-health providers,community health and behavioral-health provider,"CCBHC grant recipient listed in January 2024 directory; current status needs recheck",SRC-002,BGP-CCBHC-001,directory-lead,low,2026-07-15,"Directory-listed organization in Illinois CCBHC grant cohort",Current designation; care model; workforce context; buyer group; official site,"New RUN-005 registry record"
ACC-019,Robert Young Center,IL,SEG-002,Community behavioral-health providers,community behavioral-health provider,"CCBHC grant recipient listed in January 2024 directory; current status needs recheck",SRC-002,BGP-CCBHC-001,directory-lead,low,2026-07-15,"Directory-listed organization in Illinois CCBHC grant cohort",Current organization relationship; designation; workforce context; buyer group; official site,"New RUN-005 registry record"
ACC-020,Bert Nash Community Mental Health Center,KS,SEG-002,Community behavioral-health providers,community mental-health center,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-021,Center for Counseling & Consultation,KS,SEG-002,Community behavioral-health providers,community mental-health center,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-022,Central Kansas Mental Health Center,KS,SEG-002,Community behavioral-health providers,community mental-health center,"State-certified/demonstration CCBHC and grant listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC and grant context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-023,COMCARE of Sedgwick County,KS,SEG-002,Community behavioral-health providers,county community mental-health center,"State-certified/demonstration CCBHC and grant listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC and grant context",County governance; current certification; workforce context; buyer group; procurement route,"New RUN-005 registry record"
ACC-024,Community Mental Health Center of Crawford County,KS,SEG-002,Community behavioral-health providers,community mental-health center,"State-certified/demonstration CCBHC and grant listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC and grant context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-025,Compass Behavioral Health,KS,SEG-002,Community behavioral-health providers,community mental-health center,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-026,CrossWinds Counseling & Wellness,KS,SEG-002,Community behavioral-health providers,community mental-health provider,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current organization name; certification; workforce context; buyer group; official site,"New RUN-005 registry record"
ACC-027,Southeast Kansas Mental Health Center,KS,SEG-002,Community behavioral-health providers,community mental-health center,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-028,Southwest Guidance Center,KS,SEG-002,Community behavioral-health providers,community mental-health provider,"CCBHC grant recipient listed in January 2024 directory; current status needs recheck",SRC-002,BGP-CCBHC-001,directory-lead,low,2026-07-15,"Directory-listed CCBHC grant context",Current designation; care model; workforce context; buyer group; official site,"New RUN-005 registry record"
ACC-029,Spring River Mental Health and Wellness,KS,SEG-002,Community behavioral-health providers,community mental-health provider,"State-certified/demonstration CCBHC and grant listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC and grant context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-030,Valeo Behavioral Health Care,KS,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC and grant listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC and grant context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-031,Wyandot Center for Community Behavioral Healthcare,KS,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC and grant listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC and grant context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-032,Cascadia Behavioral Healthcare,OR,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC and grant listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC and grant context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-033,Columbia Community Mental Health,OR,SEG-002,Community behavioral-health providers,community mental-health provider,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-034,Community Counseling Solutions,OR,SEG-002,Community behavioral-health providers,community mental-health provider,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-035,Deschutes County Behavioral Health,OR,SEG-002,Community behavioral-health providers,county behavioral-health service,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",County governance; current certification; workforce context; buyer group; procurement route,"New RUN-005 registry record"
ACC-036,Klamath Basin Behavioral Health,OR,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-037,LifeWorks Northwest,OR,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current organization name; certification; workforce context; buyer group; official site,"New RUN-005 registry record"
ACC-038,Mid-Columbia Center for Living,OR,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-039,Options for Southern Oregon,OR,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC and grant listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC and grant context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-040,PeaceHealth Behavioral Health Services Oregon West,OR,SEG-002,Community behavioral-health providers,health-system behavioral-health service,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current organization structure; certification; workforce context; buyer group; procurement route,"New RUN-005 registry record"
ACC-041,Symmetry Care,OR,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current organization name; certification; workforce context; buyer group; official site,"New RUN-005 registry record"
ACC-042,Wallowa Valley Center for Wellness,OR,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-043,Yamhill County Health and Human Services,OR,SEG-002,Community behavioral-health providers,county health and human-services provider,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",County governance; current certification; workforce context; buyer group; procurement route,"New RUN-005 registry record"
ACC-044,Carl Albert Community Mental Health Center,OK,SEG-002,Community behavioral-health providers,community mental-health center,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-045,Central Oklahoma CMH and Substance Abuse Service Center,OK,SEG-002,Community behavioral-health providers,community mental-health and substance-use provider,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current organization name; certification; workforce context; buyer group; official site,"New RUN-005 registry record"
ACC-046,Counseling and Recovery Services of Oklahoma,OK,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-047,CREOKS Behavioral Health Services,OK,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC and grant listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC and grant context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-048,Family and Children's Services,OK,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC and grant listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC and grant context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-049,GRAND Mental Health,OK,SEG-002,Community behavioral-health providers,community mental-health provider,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-050,Green Country Behavioral Health Services,OK,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-051,HOPE Community Services,OK,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-052,Jim Taliaferro Community Mental Health Center,OK,SEG-002,Community behavioral-health providers,community mental-health center,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-053,Lighthouse Behavioral Wellness Center,OK,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC and grant listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC and grant context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-054,NorthCare,OK,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC and grant listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC and grant context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-055,Northwest Center for Behavioral Health,OK,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC context",Current certification; workforce context; buyer group; budget; official site,"New RUN-005 registry record"
ACC-056,Red Rock,OK,SEG-002,Community behavioral-health providers,community behavioral-health provider,"State-certified/demonstration CCBHC and grant listed in January 2024 directory",SRC-002,BGP-CCBHC-001,cluster-seed,medium,2026-07-15,"Directory-listed state-certified/demonstration CCBHC and grant context",Current organization name; certification; workforce context; buyer group; official site,"New RUN-005 registry record"
